Column1;Column2;Column3
Bank BCA Rukan Business Park Blok B-1 & B-2, Jln. Meruya Ilir No. 88. Jakarta Barat,;Rukan Business Park Blok B-1 & B-2, Jl. Meruya Ilir Raya No.88, RT.1/RW.5, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620;https://www.google.com/maps/place/BCA+KCP+Business+Park/@-6.198311,106.7600623,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7adbd554e47:0x74fb6053b6775f3f!8m2!3d-6.198311!4d106.762251!16s%2Fg%2F11rylkmy13?entry=ttu
Bank BCA Jln. Cengkeh 21-21A. Jakarta Barat,;Jl. Cengkeh No.21-21A, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110;https://www.google.com/maps/place/BCA+KCP+Cengkeh/@-6.1322908,106.8101482,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1dfec99a0f8f:0x5589cb0bd9cda7e1!8m2!3d-6.1322908!4d106.8123369!16s%2Fg%2F1q62cyx25?entry=ttu
Bank BCA Central Park Mall;;https://www.google.com/maps/search/Bank+BCA+Komplek+Central+Park+Ruko+Garden+Shopping+Arcade+Blok+Beaufort+8+nomor+EC.+Jakarta+Barat,/@-6.160164,106.6872189,12z/data=!3m1!4b1?entry=ttu
Bank BCA Ruko Citra Garden II EXT Blok BE 01 A / 01 & 02. Jakarta Barat,;Blok BE 01, Ruko Citra Garden II EXT, RT.10/RW.14, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830;https://www.google.com/maps/place/BCA+KCP+Citra+2+Ext/@-6.1331842,106.6914526,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a029bd93b1e11:0x3487d99e4448e9ac!8m2!3d-6.1331842!4d106.6936413!16s%2Fg%2F1tjph1cf?entry=ttu
Bank BCA Perum. Citra Garden I Blok I.1/4. Jakarta Barat,;Perumahan Citra Garden, Jl. Alam Raya No.1, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840;https://www.google.com/maps/place/BCA+KCP+Citra+Garden/@-6.1453096,106.6931769,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f8727f5f88b9:0xe7bcd2a9aeab7b79!8m2!3d-6.1453096!4d106.6953656!16s%2Fg%2F1tj54xjw?entry=ttu
Bank BCA (Citra II) 7119;;https://www.google.com/maps/search/Bank+BCA+Perum.+Citra+Garden+II+Ruko+Citra+Niaga+Blok+B+No.+1/@-6.1449582,106.6922404,15z/data=!3m1!4b1?entry=ttu
BCA Kantor Pemasaran & Proyek Rukan Daan Mogot Baru Blok KJF, No. 9 Jalan Jimbaran Blok LA 14 No.10 - 11, RT.8/RW.12, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840;;https://www.google.com/maps/search/Kantor+Pemasaran/@-6.958229,107.6333816,15z/data=!3m1!4b1?entry=ttu
BCA KCP Daan Mogot Dua Jl. Raya Daan Mogot No.48 A, RT.6/RW.3, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450;;https://www.google.com/maps/search/Bank+BCA+Jln.+Daan+Mogot+No.+48+A.+Jakarta+Barat,/@-6.1551408,106.6612404,12z/data=!3m1!4b1?entry=ttu
BCA KCP Duri Raya;BCA KCP Duri Raya  3,5(15)Bank · Jl. Duri Utara No.37B, RT.5/RW.2Tutup ? Buka Jum pukul 08.00 · 1 500 888;https://www.google.com/maps/search/Bank+BCA+Jln.+Duri+Raya+37+B.+Jakarta+Barat,/@-6.1736003,106.7713648,14z/data=!3m1!4b1?entry=ttu
Bank BCA Pertokoan Glodok Plaza Blok E/7-8, Jln. Pinangsia Raya 1. Jakarta Barat,;Pertokoan Glodok Plaza Blok E/7-8, Jl. Pinangsia Raya No.1, Daerah Khusus Ibukota Jakarta 11110;https://www.google.com/maps/place/BCA+KCP+Glodok+Plaza/@-6.1425081,106.8152918,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f600c7675d01:0x4aee925a8be158f7!8m2!3d-6.1425081!4d106.8174805!16s%2Fg%2F1tx1krj1?entry=ttu
BCA Jl. Komp. Green Ville Blok A 5 No.42, RT.12/RW.13, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520;Jl. Komp. Green Ville Blok A 5 No.42, RT.12/RW.13, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520;https://www.google.com/maps/place/BCA/@-6.1697361,106.7678729,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7ad39db3f5d:0x87c66baec9c1e42a!8m2!3d-6.1697361!4d106.7700616!16s%2Fg%2F1hm1x3v3_?entry=ttu
Bank BCA Jl. Muwardi I No.44, RT.1/RW.4, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460;Jl. Muwardi I No.44, RT.1/RW.4, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460;https://www.google.com/maps/place/BCA/@-6.1643176,106.7909734,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f64279a4bb85:0x283166349ff00f8c!8m2!3d-6.1643176!4d106.7931621!16s%2Fg%2F1td81923?entry=ttu
BCA KCP Grogol Permai;Anda telah mencapai akhir daftar.;https://www.google.com/maps/search/Bank+BCA+Pert.Grogol+Permai+Blok+F+3-4,+Jln.+Prof.+Latumenten.+Jakarta+Barat,/@-6.1562866,106.790081,17z/data=!3m1!4b1?entry=ttu
BCA KCP Hayam Wuruk Jakarta, Jl. Hayam Wuruk No.54, Maphar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11160;Jakarta, Jl. Hayam Wuruk No.54, Maphar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11160;https://www.google.com/maps/place/BCA+KCP+Hayam+Wuruk/@-6.1583764,106.8168326,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5df9833e8eb:0x40bca928ef7a1835!8m2!3d-6.1583764!4d106.8190213!16s%2Fg%2F1q6j28l10?entry=ttu
BCA Komp.Intercom Megah, Jl. Joglo Raya Blk. 4 No.27, RT.7/RW.3, Srengseng, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630;;https://www.google.com/maps/search/Bank+BCA+Komp.Intercom+Megah,+Jln.+Joglo+Raya+Blok+W-IV+No.+27.+Jakarta+Barat,/@-6.217468,106.7561206,17z/data=!3m1!4b1?entry=ttu
BCA KCP Jalan Panjang Graha Elok Mas, Jl. Panjang 79 EF, Kec. Kb. Jeruk, Daerah Khusus Ibukota Jakarta 11520;;https://www.google.com/maps/search/Bank+BCA+Jln.+Panjang+79+EF.+Jakarta+Barat,/@-6.1945953,106.7603402,15z/data=!3m1!4b1?entry=ttu
Bank BCA Jln. Jamblang Raya 51. Jakarta Barat,;Jl. Duri Selatan I No.51AB, RT.8/RW.1, Duri Sel., Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11270;https://www.google.com/maps/place/BCA+KCP+Jamblang/@-6.1574622,106.8038394,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f672a6f7bcc9:0xe8081a0c0591cc42!8m2!3d-6.1574622!4d106.8060281!16s%2Fg%2F1ptxgrtm6?entry=ttu
ANT Bank BCA 7434-Jelambar;;https://www.google.com/maps/search/Bank+BCA+Kavling+Polri,+Jln.+Hadiah+Blok+B-7+No.706.+Jakarta+Barat,/@-6.1595797,106.780255,17z/data=!3m1!4b1?entry=ttu
Bank BCA Jln. Jelambar Baru Raya 53 C. Jakarta Barat,;Jl. Jelambar Baru Raya No.53 C, RT.11/RW.7, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460;https://www.google.com/maps/place/BCA+KCP+Jelambar+Baru+Raya/@-6.1550538,106.785645,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f70232870e49:0x25cfb0402bc0e8fc!8m2!3d-6.1550538!4d106.7878337!16s%2Fg%2F11sy713ppj?entry=ttu
BCA KCP Jembatan Merah;;https://www.google.com/maps/search/Bank+BCA+Jln.+Mangga+Besar+177+C.+Jakarta+Barat,/@-6.1497059,106.8052173,14z/data=!3m1!4b1?entry=ttu
Bank BCA Jln. Pasar Inpres Kav. Polri Blok F VIII No.1605 B. Jakarta Barat,;Jl. Pasar Inpres Kav. Polri Blok F Viii No.1605 B, RT.8/RW.2, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460;https://www.google.com/maps/place/ATM+Bank+BCA+0989-Kavling+Polri/@-6.1589901,106.7777722,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6484ea99cff:0xbba254fa6c51c33e!8m2!3d-6.1589901!4d106.7799609!16s%2Fg%2F1ptxyhy0f?entry=ttu
Bank BCA Jln. Keamanan 50. Jakarta Barat,;Bca Kcp Keamanan  2,3(3)Bank · Jl. Keamanan No.50, RT.2/RW.9;https://www.google.com/maps/search/Bank+BCA+Jln.+Keamanan+50.+Jakarta+Barat,/@-6.1521237,106.807799,16z/data=!3m1!4b1?entry=ttu
